	price	assessment1	assessment2	assessment3
1	32900	37299.37125	37299.37125	37299.37125
2	36000	40165.89269	40165.89269	40165.89269
3	54000	56317.4201	56317.4201	56317.4201
4	64500	66183.77244	66183.77244	66183.77244
5	68000	69486.97316	69486.97316	69486.97316
6	70000	71514.52586	71514.52586	71514.52586
7	74000	75338.28603	75338.28603	75338.28603
8	80000	81035.95111	81035.95111	81035.95111
9	84900	85672.85577	85672.85577	85672.85577
10	89000	85021.0865	94088.93683	90046.33945
11	89000	90046.33945	85021.0865	94088.93683
12	89000	94088.93683	90046.33945	85021.0865
13	105900	100227.0936	100227.0936	100227.0936
14	109000	103156.7516	103156.7516	103156.7516
15	115000	108290.1277	108290.1277	108290.1277
16	124500	117098.7563	117098.7563	117098.7563
17	129900	115346.9796	115346.9796	115346.9796
18	135000	119678.4223	119678.4223	119678.4223
19	149000	131630.9478	131630.9478	131630.9478
20	155800	137321.2061	137321.2061	137321.2061
21	163500	143973.5639	143973.5639	143973.5639
22	175000	153571.8563	153571.8563	153571.8563
23	179000	148456.8866	148456.8866	148456.8866
24	185600	153488.3876	153488.3876	153488.3876
25	199900	165039.8271	165039.8271	165039.8271
26	215000	176939.5763	176939.5763	176939.5763
27	235000	192959.3127	192959.3127	192959.3127
28	250000	180046.1193	180046.1193	180046.1193
29	279000	200240.2442	200240.2442	200240.2442
30	295000	211445.4891	211445.4891	211445.4891
